user_id,song_index,spotify_id,Arousal,Valence,GEMS_Wonder,GEMS_Transcendence,GEMS_Tenderness,GEMS_Nostalgia,GEMS_Peacefulness,GEMS_Power,GEMS_Joyful Activation,GEMS_Tension,GEMS_Sadness
4,18,3i8j2dKXChkErfi8jsDDuH,0.69,0.66,0.0,0.0,0.75,0.75,0.75,0.0,0.0,0.0,0.0
4,19,5JVlu41jJTVVD8HnkcslNZ,0.34,0.39,0.75,0.75,0.75,1.0,0.75,0.0,0.0,0.0,1.0
5,0,5Pj5zrq2nbKcAekH1AxbrO,0.23,0.43,0.0,0.25,1.0,0.75,0.75,0.0,0.0,0.5,0.5
5,1,3ascnOSOR5MX901ylGuhcl,0.64,0.61,0.5,0.0,0.75,0.75,0.25,0.5,0.5,0.25,0.0
5,2,1pTGc8pwyo6xtgXBKCBcFn,0.62,0.34,0.75,0.25,0.5,0.25,0.5,0.25,0.5,0.75,0.75
5,3,6oMZhY0f1ReI6AJDDYfuSb,0.25,0.16,0.25,0.5,0.5,1.0,0.5,0.0,0.25,0.5,0.75
5,4,1Qa0Y05al633fG8f9Peytc,0.62,0.72,0.25,0.0,0.5,0.25,0.25,0.75,0.75,0.0,0.25
5,5,0h17TpfCKbbib1J37Qgj7r,0.85,0.3,1.0,0.25,0.75,0.25,0.0,0.5,0.5,1.0,0.25
5,6,07ceEXOyS7ghQkyCOycXwP,0.79,0.59,0.5,0.0,0.0,0.0,0.0,0.75,0.75,0.75,0.5
5,7,2ZiMQKIieJ7GTRYnO8fP8p,0.7,0.42,0.0,0.0,0.5,0.25,0.25,0.5,0.75,0.25,0.5
5,8,1urmwhtXPiakhcqvqUi3rp,0.73,0.72,0.25,0.5,1.0,0.5,0.75,0.5,0.75,0.25,0.0
5,9,6ic8OlLUNEATToEFU3xmaH,0.46,0.28,0.0,0.0,0.5,0.25,0.25,0.0,0.5,1.0,0.25
5,10,4BP3uh0hFLFRb5cjsgLqDh,0.54,0.74,0.25,0.5,0.25,0.75,0.25,0.5,0.75,0.0,0.25
5,11,6twIBPybEvGydyNzNz89FT,0.68,0.39,0.75,0.75,0.25,0.25,0.5,0.5,0.75,0.75,0.5
5,12,3SnGymj6ijE2iuUfWxLo1q,0.4,0.36,0.25,0.75,0.5,0.5,0.25,0.25,0.5,0.75,0.5
5,13,7iL6o9tox1zgHpKUfh9vuC,0.4,0.74,0.25,0.0,0.25,0.5,0.25,0.75,0.75,0.25,0.25
5,14,4rHZZAmHpZrA3iH5zx8frV,0.38,0.63,0.25,0.25,0.75,0.5,0.5,0.25,0.5,0.25,0.25
5,15,16pUlUFjyp6BtDtxC0i9ch,0.29,0.36,0.25,0.5,0.5,1.0,0.75,0.0,0.5,0.25,0.5
5,16,1ne9wOtDF2jM6Cm8WBkaER,0.43,0.74,0.5,0.5,0.75,0.75,0.75,0.25,0.5,0.0,0.25
5,17,5DnT9a5IM3eMjKgXTWVJvi,0.61,0.45,0.25,0.5,0.5,0.75,0.75,0.25,0.25,0.25,0.5
5,18,7DKjnQH7yeCUPXX88Hh12p,0.64,0.7,0.0,0.5,0.75,1.0,0.75,0.0,0.75,0.25,0.0
5,19,5Y8QJVMu9MWziD2IgujriR,0.6,0.77,1.0,0.75,0.75,0.75,0.75,0.5,0.75,0.0,0.0
6,0,2rIqbiRDXuiWxFHfLgzYRe,0.25,0.4,0.0,0.0,0.5,0.25,0.5,0.0,0.0,0.0,0.0
6,1,6HSXNV0b4M4cLJ7ljgVVeh,0.57,0.57,0.0,0.0,0.5,0.5,0.25,0.0,0.0,0.0,0.25
6,2,17CPezzLWzvGfpZW6X8XT0,0.63,0.63,0.0,0.0,0.5,0.5,0.25,0.25,0.25,0.0,0.0
6,3,2mOGLiSTUeki1l9t1BBNRQ,0.46,0.46,0.0,0.0,0.5,0.5,0.25,0.0,0.0,0.0,0.25
6,4,38zsOOcu31XbbYj9BIPUF1,0.57,0.57,0.0,0.0,0.5,0.5,0.25,0.0,0.0,0.0,0.25
6,5,65kp3OFn7JXbCvkm3m2Ui2,0.66,0.67,0.25,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0
6,6,07ceEXOyS7ghQkyCOycXwP,0.75,0.74,0.5,0.0,0.0,0.0,0.0,0.75,0.75,0.0,0.0
6,7,1gT5TGwbkkkUliNzHRIGi1,0.58,0.47,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.25
6,8,6JY1IdkZGeIcPegKxjSKeb,0.73,0.73,0.25,0.0,0.0,0.0,0.0,0.75,0.5,0.0,0.0
6,9,0b4M7hd7mzLTm99MrMeZsp,0.73,0.67,0.0,0.0,0.0,0.25,0.0,0.5,0.25,0.0,0.0
6,10,75zMKn5euxQdlkZgu4P42J,0.69,0.66,0.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0
6,11,6QFCMUUq1T2Vf5sFUXcuQ7,0.73,0.7,0.25,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0
6,12,2igwFfvr1OAGX9SKDCPBwO,0.78,0.77,0.75,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0
